"condName","belief_avg","WEPT_max","policy_avg","MacArthur_SES","Share","country","Gender","Age","Education.2","Politics2_1","Politics2_9","Income"
"NegativeEmotions",99.75,8,60.1111111111111,NA,0,"chile",NA,NA,NA,NA,NA,NA
"Letter2Future",100,1,100,7,1,"chile",2,24,3,100,100,7
"SystemJust",98.75,8,92.6666666666667,NA,1,"chile",NA,NA,NA,NA,NA,NA
"CollectAction",100,1,75,5,2,"chile",2,22,3,98,98,9
"BindingMoral",100,1,92.8888888888889,NA,1,"chile",NA,NA,NA,NA,NA,NA
"Identity-Social-Norms-Intervention",34,8,73.5555555555556,NA,1,"chile",NA,NA,NA,NA,NA,NA
"DynamicNorm",96,2,63.3333333333333,NA,0,"chile",NA,NA,NA,NA,NA,NA
"PsychDistance",92,8,73.5555555555556,NA,1,"chile",NA,NA,NA,NA,NA,NA
"SystemJust",100,8,67,NA,1,"chile",NA,NA,NA,NA,NA,NA
"SciConsens",100,8,76.7777777777778,NA,1,"chile",NA,NA,NA,NA,NA,NA
"CollectAction",96.25,8,88.2222222222222,6,2,"chile",2,67,2,60,65,9
"PluralIgnorance",91.5,8,63.1111111111111,NA,1,"chile",NA,NA,NA,NA,NA,NA
"FutureSelfCont",99.5,8,87.8888888888889,NA,1,"chile",NA,NA,NA,NA,NA,NA
"Identity-Social-Norms-Intervention",99.75,8,95.4444444444444,NA,1,"chile",NA,NA,NA,NA,NA,NA
"Letter2Future",97.25,4,65.6666666666667,NA,0,"chile",NA,NA,NA,NA,NA,NA
"CollectAction",73,1,54,4,1,"chile",1,24,3,50,63,8
"FutureSelfCont",100,8,67.3333333333333,NA,1,"chile",NA,NA,NA,NA,NA,NA
"DynamicNorm",98,8,82.4444444444444,8,1,"chile",1,68,3,52,51,8
"Control",70.25,8,55,NA,0,"chile",NA,NA,NA,NA,NA,NA
"SystemJust",98,0,75.6666666666667,NA,1,"chile",NA,NA,NA,NA,NA,NA
"PsychDistance",100,0,100,NA,0,"chile",NA,NA,NA,NA,NA,NA
"NegativeEmotions",87.25,0,83,NA,1,"chile",NA,NA,NA,NA,NA,NA
"BindingMoral",95.25,8,61.6666666666667,NA,1,"chile",NA,NA,NA,NA,NA,NA
"SciConsens",82.5,8,84.5555555555556,3,2,"chile",1,78,2,69,58,7
"CollectAction",87.5,1,56.3333333333333,NA,0,"chile",NA,NA,NA,NA,NA,NA
"FutureSelfCont",100,8,94.3333333333333,5,1,"chile",2,35,3,88,81,8
"NegativeEmotions",97.25,7,87.4444444444444,NA,2,"chile",NA,NA,NA,NA,NA,NA
"PluralIgnorance",100,8,96.6666666666667,NA,1,"chile",NA,NA,NA,NA,NA,NA
"Identity-Social-Norms-Intervention",90.75,0,47.7777777777778,NA,1,"chile",NA,NA,NA,NA,NA,NA
"SciConsens",27.75,8,93.4444444444444,4,1,"chile",1,55,3,50,50,8
